DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
201614904;11/19/2020 12:00:00 AM;11/18/2020 12:00:00 AM;2000;16;Foothill   ;1602
201614231;10/27/2020 12:00:00 AM;10/17/2020 12:00:00 AM;1900;16;Foothill   ;1665
201609553;05/30/2020 12:00:00 AM;05/30/2020 12:00:00 AM;30;16;Foothill   ;1681
201604387;01/10/2020 12:00:00 AM;01/10/2020 12:00:00 AM;1200;16;Foothill   ;1657
201609805;06/09/2020 12:00:00 AM;06/08/2020 12:00:00 AM;1800;16;Foothill   ;1658
201605025;01/24/2020 12:00:00 AM;01/24/2020 12:00:00 AM;1015;16;Foothill   ;1685
201614151;10/23/2020 12:00:00 AM;10/23/2020 12:00:00 AM;2015;16;Foothill   ;1633
201600560;02/12/2020 12:00:00 AM;02/11/2020 12:00:00 AM;2000;16;Foothill   ;1654
201608557;04/28/2020 12:00:00 AM;04/15/2020 12:00:00 AM;1200;16;Foothill   ;1676
201607520;03/27/2020 12:00:00 AM;03/27/2020 12:00:00 AM;1130;16;Foothill   ;1695
201615054;11/24/2020 12:00:00 AM;11/24/2020 12:00:00 AM;1300;16;Foothill   ;1684
201606063;02/20/2020 12:00:00 AM;02/19/2020 12:00:00 AM;1700;16;Foothill   ;1656
201614076;10/21/2020 12:00:00 AM;10/20/2020 12:00:00 AM;2100;16;Foothill   ;1613
201609330;05/22/2020 12:00:00 AM;05/22/2020 12:00:00 AM;500;16;Foothill   ;1654
201611772;08/07/2020 12:00:00 AM;07/31/2020 12:00:00 AM;1600;16;Foothill   ;1602
201614860;11/13/2020 12:00:00 AM;10/27/2020 12:00:00 AM;957;16;Foothill   ;1675
201612460;09/01/2020 12:00:00 AM;08/31/2020 12:00:00 AM;1645;16;Foothill   ;1623
201606871;03/08/2020 12:00:00 AM;03/08/2020 12:00:00 AM;1630;16;Foothill   ;1678
201610031;06/15/2020 12:00:00 AM;06/14/2020 12:00:00 AM;1030;16;Foothill   ;1641
201613432;10/02/2020 12:00:00 AM;10/01/2020 12:00:00 AM;2100;16;Foothill   ;1656
201611146;07/17/2020 12:00:00 AM;07/15/2020 12:00:00 AM;1200;16;Foothill   ;1672
201606278;02/24/2020 12:00:00 AM;02/24/2020 12:00:00 AM;1755;16;Foothill   ;1699
201606015;02/18/2020 12:00:00 AM;02/18/2020 12:00:00 AM;930;16;Foothill   ;1698
201608774;05/05/2020 12:00:00 AM;05/05/2020 12:00:00 AM;1445;16;Foothill   ;1622
201606237;02/24/2020 12:00:00 AM;02/24/2020 12:00:00 AM;200;16;Foothill   ;1663
201605324;02/02/2020 12:00:00 AM;02/01/2020 12:00:00 AM;1900;16;Foothill   ;1693
201615863;12/21/2020 12:00:00 AM;12/20/2020 12:00:00 AM;2100;16;Foothill   ;1623
201609260;05/20/2020 12:00:00 AM;05/20/2020 12:00:00 AM;230;16;Foothill   ;1664
201606313;02/25/2020 12:00:00 AM;02/25/2020 12:00:00 AM;1032;16;Foothill   ;1602
201612254;08/24/2020 12:00:00 AM;08/24/2020 12:00:00 AM;500;16;Foothill   ;1622
201604180;01/06/2020 12:00:00 AM;01/05/2020 12:00:00 AM;5;16;Foothill   ;1675
201614334;10/31/2020 12:00:00 AM;10/31/2020 12:00:00 AM;1530;16;Foothill   ;1623
201606173;02/21/2020 12:00:00 AM;02/19/2020 12:00:00 AM;1000;16;Foothill   ;1602
